z_seed,hp_seed,pre_mle_cost,post_mle_cost,train_nrmse,test_nrmse,train_nlpd,test_nlpd,iters,best_iter,opt_time,result_file
46,318,0.061774559,0.015526094,8.833447099,9.176789969,0.285394758,0.19519645,10850,10850,44.734713,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-318.json
46,363,0.030985922,0.035424024,2.845677733,2.359212376,-1.057252645,-0.715007126,1050,1050,24.3162159,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-363.json
46,409,0.043781549,0.014655497,7.318887115,7.249957323,1.100029349,0.804824233,1050,1050,24.913331,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-409.json
46,454,0.113481447,0.014862268,7.008346915,7.084099203,-1.119042635,-1.151578188,9650,9650,48.9631661,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-454.json
46,500,0.058857698,0.016305529,2.900093049,2.601726353,1.396251678,1.309438467,2900,2900,28.8846222,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-500.json
46,1234,0.025055911,0.075392,3.138805181,3.008517064,0.041518591,-0.428674161,1050,1050,23.2845845,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-46_seed_hp-1234.json
91,1,0.030930299,0.012278155,6.212173402,6.288121641,-1.11086607,-1.627082825,1050,1050,23.4907545,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-1.json
91,10,0.139631897,0.015325751,4.485865682,3.953235969,-1.271823168,-1.430869579,4900,4900,33.6647097,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-10.json
91,46,0.065330401,0.016285744,3.269327432,3.123451769,-0.755048752,-0.834429085,1050,1050,23.4685686,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-46.json
91,91,0.075717017,0.033375155,8.045077324,9.344983846,-0.002973743,-0.081521511,1550,1550,24.3935779,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-91.json
91,137,0.106291197,0.026891278,6.387195736,6.463672966,-0.171153829,-0.324024379,1900,1900,25.0990042,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-137.json
91,182,0.898159325,0.020196725,10.43814346,8.911897242,-0.146630391,-0.090214476,4000,4000,30.7366806,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-182.json
91,227,0.065607913,0.016075898,5.938670784,6.368945539,-0.451348633,-0.794028759,5800,5800,35.9751618,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-227.json
91,273,0.038101699,0.018001787,3.669614345,3.115947172,0.898444831,0.837336063,1050,1050,24.4495363,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-273.json
