trial,cost,gradZ_frob,bound,ratio_grad_over_bound,gamma1,gamma2,epsilon,G_frob,Gplus_frob,X_frob,nTrain,N,ns_query,device,phi_sigma_max,phi_sigma_min,phi_cond,phi_plus_sigma_max,phi_plus_sigma_min,phi_plus_cond,G_sigma_max,G_sigma_min,G_cond,Gplus_sigma_max,Gplus_sigma_min,Gplus_cond
15,535.385498046875,25.455785751342773,1692244024165.0867,1.5042621151463105e-11,1507.0853271484375,1508.3270263671875,1733.2508544921875,631.2579956054688,633.6248168945312,200.0,200,100,20000,cuda:0,1238.40576171875,41.632347106933594,29.746238708496094,1241.231201171875,10.181905746459961,121.90558624267578,250.10763549804688,3.273975133895874,76.39264678955078,253.56524658203125,1.8731358051300049,135.369384765625
16,362.3675842285156,17.491533279418945,12684618101.092546,1.3789562397556432e-09,1357.5509033203125,1356.8826904296875,8777.7109375,581.130126953125,582.6857299804688,200.0,200,100,20000,cuda:0,1107.0899658203125,93.68924713134766,11.816617012023926,1106.1566162109375,93.10912322998047,11.880217552185059,232.42430114746094,0.032881297171115875,7068.5869140625,232.41073608398438,0.0319439060986042,7275.58935546875
17,359.6429748535156,11.94821548461914,972417839993.2715,1.2287120817016083e-11,2446.95947265625,2452.95654296875,5783.2158203125,386.8123474121094,386.2424621582031,200.0,200,100,20000,cuda:0,2296.1904296875,76.04747009277344,30.194171905517578,2304.7841796875,67.72814178466797,34.02993392944336,188.7536163330078,2.24470591545105,84.08834838867188,188.7361602783203,1.0174732208251953,185.49496459960938
18,464.3429870605469,29.638011932373047,72297934471.58952,4.0994272034175076e-10,1743.99951171875,1745.4453125,8052.80322265625,592.4027099609375,594.258056640625,200.0,200,100,20000,cuda:0,1471.2362060546875,89.73707580566406,16.39496421813965,1471.8809814453125,88.91593933105469,16.55362319946289,202.23480224609375,0.3617623746395111,559.026611328125,205.00572204589844,0.3606279492378235,568.46875
19,455.92669677734375,38.647125244140625,129057271801.99893,2.994571689337542e-10,1208.1119384765625,1208.5560302734375,2435.745849609375,532.3771362304688,533.4533081054688,200.0,200,100,20000,cuda:0,955.8947143554688,49.353328704833984,19.36839485168457,957.8644409179688,45.33889389038086,21.126771926879883,193.0836944580078,3.587768793106079,53.81720733642578,193.79962158203125,1.8759158849716187,103.30933380126953
20,461.3212585449219,22.911222457885742,10638968942.48293,2.1535190657807023e-09,1330.8021240234375,1327.6282958984375,9289.49609375,620.8968505859375,622.7511596679688,200.0,200,100,20000,cuda:0,985.9255981445312,96.38184356689453,10.229371070861816,985.2009887695312,95.86566925048828,10.276890754699707,189.6782684326172,3.887552261352539,48.79118347167969,191.5725860595703,2.265123128890991,84.57491302490234
21,514.9970703125,28.133296966552734,2159530792.0354085,1.3027504433051608e-08,1046.89306640625,1043.7711181640625,8351.8525390625,396.854736328125,396.4450378417969,200.0,200,100,20000,cuda:0,871.2525634765625,91.38859558105469,9.533493041992188,869.14697265625,89.50698852539062,9.710381507873535,140.39532470703125,2.836078643798828,49.503326416015625,140.7842559814453,1.4053581953048706,100.1767807006836
22,321.3915710449219,25.660202026367188,92316376232.33835,2.779593726879678e-10,1619.1231689453125,1620.6968994140625,5575.12744140625,489.8394775390625,490.75946044921875,200.0,200,100,20000,cuda:0,1389.3980712890625,74.66683959960938,18.607967376708984,1391.497314453125,74.18779754638672,18.756418228149414,218.11131286621094,0.004438367672264576,49142.234375,218.10260009765625,0.004429297521710396,49240.90234375
23,534.7237548828125,139.98687744140625,1657285333.106242,8.446757757701839e-08,1237.0887451171875,1233.6612548828125,20883.9609375,630.0653076171875,630.9452514648438,200.0,200,100,20000,cuda:0,909.9529418945312,144.51296997070312,6.296687126159668,906.9703979492188,144.37872314453125,6.28188419342041,310.3381042480469,3.802849769592285,81.60671997070312,310.2347106933594,2.1107985973358154,146.97503662109375
24,437.0587158203125,23.839651107788086,114769023161.30208,2.0771851542452058e-10,1554.5997314453125,1556.5718994140625,4826.7294921875,548.071533203125,549.7731323242188,200.0,200,100,20000,cuda:0,1384.6466064453125,69.47459411621094,19.93025779724121,1387.244140625,58.4550895690918,23.731794357299805,193.6977081298828,1.0030728578567505,193.1043243408203,195.5881805419922,0.07756023854017258,2521.75830078125
