hp_trial,z_trial,seed_hp,seed_Z,cost,gradZ_frob,bound,ratio_grad_over_bound,gamma1,gamma2,epsilon,G_frob,Gplus_frob,X_frob,phi_sigma_max,phi_sigma_min,phi_cond,phi_plus_sigma_max,phi_plus_sigma_min,phi_plus_cond,G_sigma_max,G_sigma_min,G_cond,Gplus_sigma_max,Gplus_sigma_min,Gplus_cond,MMt_sigma_max,MMt_sigma_min,MMt_cond,nTrain,N,ns_query,device
7,3,15,736,127.30989074707031,4.358809947967529,48090958644.56549,9.063678643179004e-11,50.20101547241211,43.90324020385742,4.610809803009033,79.04576110839844,66.56112670898438,113.1370849609375,41.18751525878906,2.1472816467285156,19.181236267089844,38.053279876708984,0.069170743227005,550.135498046875,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1696.40478515625,4.610820770263672,367.9181823730469,100,16,1600,cuda:0
7,4,15,874,122.92265319824219,6.196694850921631,40180703364.06236,1.5422066644218968e-10,50.69063949584961,44.625797271728516,4.984129905700684,79.04576110839844,66.56112670898438,113.1370849609375,41.838523864746094,2.232517719268799,18.740510940551758,38.83291244506836,0.006236202083528042,6227.01318359375,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1750.471923828125,4.984135627746582,351.208740234375,100,16,1600,cuda:0
7,5,15,1012,123.79117584228516,5.806035041809082,61935863993.593994,9.374269877642456e-11,50.883426666259766,44.734527587890625,4.3397088050842285,79.04576110839844,66.56112670898438,113.1370849609375,42.00955581665039,2.0831992626190186,20.165884017944336,38.98279571533203,0.06362356245517731,612.7100219726562,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1764.811279296875,4.339720249176025,406.6647644042969,100,16,1600,cuda:0
7,6,15,1150,123.26061248779297,5.545080184936523,72319581254.8336,7.667467218037727e-11,51.6118049621582,45.683753967285156,4.227097034454346,79.04576110839844,66.56112670898438,113.1370849609375,42.51973342895508,2.0559914112091064,20.680891036987305,39.609588623046875,0.014232824556529522,2782.974609375,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1807.9300537109375,4.227095127105713,427.7003479003906,100,16,1600,cuda:0
8,0,17,357,123.42597961425781,6.19183874130249,58794520007.40785,1.0531319484404917e-10,50.16930389404297,43.91364669799805,4.30614709854126,79.04576110839844,66.56112670898438,113.1370849609375,41.446502685546875,2.075129270553589,19.97297477722168,38.44354248046875,0.07989678531885147,481.1650695800781,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1717.813720703125,4.306142807006836,398.92169189453125,100,16,1600,cuda:0
8,1,17,510,125.60734558105469,4.518605709075928,35120297266.860405,1.2866080474038853e-10,50.503501892089844,44.3681640625,5.179477214813232,79.04576110839844,66.56112670898438,113.1370849609375,41.81734848022461,2.275847911834717,18.37440299987793,38.96591567993164,0.08521504700183868,457.26568603515625,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1748.6854248046875,5.179492473602295,337.61712646484375,100,16,1600,cuda:0
8,2,17,663,125.1844711303711,5.76063871383667,55342101761.971855,1.040914336541348e-10,49.89320755004883,43.87584686279297,4.3538055419921875,79.04576110839844,66.56112670898438,113.1370849609375,40.67060470581055,2.0865797996520996,19.49151611328125,37.66379165649414,0.036639902740716934,1027.944580078125,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1654.0926513671875,4.353814601898193,379.91802978515625,100,16,1600,cuda:0
8,3,17,816,125.09761047363281,4.383120059967041,59232739569.689575,7.399826669860734e-11,49.492523193359375,43.18656539916992,4.193288803100586,79.04576110839844,66.56112670898438,113.1370849609375,40.772918701171875,2.047750473022461,19.91107749938965,37.80847930908203,0.07941675931215286,476.07684326171875,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1662.4415283203125,4.193295955657959,396.4522399902344,100,16,1600,cuda:0
8,4,17,969,124.04107666015625,5.63714599609375,29512053561.371735,1.9101164832094907e-10,49.40619659423828,43.34675216674805,5.282596111297607,79.04576110839844,66.56112670898438,113.1370849609375,40.51893997192383,2.2983956336975098,17.629228591918945,37.51686477661133,0.016475651413202286,2277.109619140625,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1641.7742919921875,5.282598972320557,310.78912353515625,100,16,1600,cuda:0
8,5,17,1122,125.21064758300781,5.192460060119629,39228518883.638,1.3236441772175536e-10,49.076393127441406,42.96779251098633,4.74493408203125,79.04576110839844,66.56112670898438,113.1370849609375,40.203819274902344,2.1782901287078857,18.456594467163086,37.224971771240234,0.03149658814072609,1181.8731689453125,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1616.3538818359375,4.744943141937256,340.6476745605469,100,16,1600,cuda:0
8,6,17,1275,126.25391387939453,4.399214267730713,50486661059.65227,8.713616974061412e-11,50.165462493896484,43.9898681640625,4.531748294830322,79.04576110839844,66.56112670898438,113.1370849609375,40.927833557128906,2.1287949085235596,19.22582244873047,37.841651916503906,0.039428748190402985,959.7477416992188,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1675.087158203125,4.531772613525391,369.63177490234375,100,16,1600,cuda:0
9,0,19,392,123.7801742553711,5.9439311027526855,42587274298.84797,1.395705924037847e-10,49.8549690246582,43.820980072021484,4.746711730957031,79.04576110839844,66.56112670898438,113.1370849609375,40.96002197265625,2.178694248199463,18.800262451171875,37.988525390625,0.01123704481869936,3380.65087890625,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1677.7425537109375,4.746710300445557,353.4537353515625,100,16,1600,cuda:0
9,1,19,560,124.54517364501953,5.814256191253662,41882935519.512215,1.38821601665073e-10,49.91672134399414,43.79415512084961,4.7829108238220215,79.04576110839844,66.56112670898438,113.1370849609375,41.29029083251953,2.1869919300079346,18.879945755004883,38.37116622924805,0.056323934346437454,681.2586059570312,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1704.888916015625,4.782917499542236,356.4537658691406,100,16,1600,cuda:0
