system,noise_type,intensity,seed,mode_id,real,imag,abs
Inhibited Predator-Prey,gaussian,0.05,100,6,0.940268874168396,0.1428869068622589,0.9510637328184515
Inhibited Predator-Prey,gaussian,0.1,100,6,0.9435125589370728,0.09967777878046036,0.9487631993572418
Inhibited Predator-Prey,gaussian,0.15,100,6,0.8755954504013062,0.1329132616519928,0.8856259525818094
Inhibited Predator-Prey,gaussian,0.2,100,6,0.8754453659057617,0.06182993948459625,0.8776260764713762
Inhibited Predator-Prey,gaussian,0.75,100,6,0.040270689874887466,0.0,0.040270689874887466
Inhibited Predator-Prey,gaussian,0.0,100,7,0.9424331188201904,-0.1443636119365692,0.9534259467313251
Inhibited Predator-Prey,gaussian,0.025,100,7,0.9283163547515869,-0.20889708399772644,0.9515299502391017
Inhibited Predator-Prey,gaussian,0.05,100,7,0.940268874168396,-0.1428869068622589,0.9510637328184515
Inhibited Predator-Prey,gaussian,0.1,100,7,0.9435125589370728,-0.09967777878046036,0.9487631993572418
Inhibited Predator-Prey,gaussian,0.15,100,7,0.8755954504013062,-0.1329132616519928,0.8856259525818094
Inhibited Predator-Prey,gaussian,0.2,100,7,0.8754453659057617,-0.06182993948459625,0.8776260764713762
Inhibited Predator-Prey,gaussian,0.75,100,7,0.029518209397792816,0.0,0.029518209397792816
Inhibited Predator-Prey,gaussian,0.0,100,8,0.9342848062515259,0.044443774968385696,0.9353413004491418
Inhibited Predator-Prey,gaussian,0.025,100,8,0.9277110695838928,0.0,0.9277110695838928
Inhibited Predator-Prey,gaussian,0.05,100,8,0.9584097862243652,-0.04645516723394394,0.9595349920109048
Inhibited Predator-Prey,gaussian,0.1,100,8,0.8017258644104004,0.0,0.8017258644104004
Inhibited Predator-Prey,gaussian,0.15,100,8,0.6858363747596741,0.0,0.6858363747596741
Inhibited Predator-Prey,gaussian,0.2,100,8,0.45337480306625366,0.0,0.45337480306625366
Inhibited Predator-Prey,gaussian,0.75,100,8,0.28452837467193604,0.0,0.28452837467193604
Inhibited Predator-Prey,gaussian,0.0,100,9,0.9342848062515259,-0.044443774968385696,0.9353413004491418
Inhibited Predator-Prey,gaussian,0.025,100,9,0.9903285503387451,-0.005338738672435284,0.990342940473982
Inhibited Predator-Prey,gaussian,0.05,100,9,1.002489447593689,0.0,1.002489447593689
Inhibited Predator-Prey,gaussian,0.1,100,9,1.0001063346862793,0.0,1.0001063346862793
Inhibited Predator-Prey,gaussian,0.15,100,9,0.9953678250312805,0.0,0.9953678250312805
Inhibited Predator-Prey,gaussian,0.2,100,9,0.9990503191947937,0.0,0.9990503191947937
Inhibited Predator-Prey,gaussian,0.75,100,9,0.9640272259712219,0.0,0.9640272259712219
