system,noise_type,intensity,seed,eig_index_sorted,real,imag,abs
Inhibited Predator-Prey,gaussian,0.05,100,6,0.9503536224365234,-0.0968480184674263,0.9552756389436973
Inhibited Predator-Prey,gaussian,0.05,100,7,0.9313443899154663,0.15359702706336975,0.9439250072700255
Inhibited Predator-Prey,gaussian,0.05,100,8,0.9313443899154663,-0.15359702706336975,0.9439250072700255
Inhibited Predator-Prey,gaussian,0.05,100,9,0.7909809947013855,0.0,0.7909809947013855
Inhibited Predator-Prey,gaussian,0.075,100,0,0.9996400475502014,0.0,0.9996400475502014
Inhibited Predator-Prey,gaussian,0.075,100,1,0.9782341122627258,0.0,0.9782341122627258
Inhibited Predator-Prey,gaussian,0.075,100,2,0.9615367650985718,0.07600163668394089,0.9645357429431342
Inhibited Predator-Prey,gaussian,0.075,100,3,0.9615367650985718,-0.07600163668394089,0.9645357429431342
Inhibited Predator-Prey,gaussian,0.075,100,4,0.9457452297210693,0.1370057314634323,0.9556173972851207
Inhibited Predator-Prey,gaussian,0.075,100,5,0.9457452297210693,-0.1370057314634323,0.9556173972851207
Inhibited Predator-Prey,gaussian,0.075,100,6,0.9542251825332642,0.0,0.9542251825332642
Inhibited Predator-Prey,gaussian,0.075,100,7,0.9463297128677368,0.052580490708351135,0.9477893402330838
Inhibited Predator-Prey,gaussian,0.075,100,8,0.9463297128677368,-0.052580490708351135,0.9477893402330838
Inhibited Predator-Prey,gaussian,0.075,100,9,0.8822401165962219,0.0,0.8822401165962219
Inhibited Predator-Prey,gaussian,0.1,100,0,1.0001163482666016,0.0,1.0001163482666016
Inhibited Predator-Prey,gaussian,0.1,100,1,0.9628939628601074,0.0675119161605835,0.9652578114349117
Inhibited Predator-Prey,gaussian,0.1,100,2,0.9628939628601074,-0.0675119161605835,0.9652578114349117
Inhibited Predator-Prey,gaussian,0.1,100,3,0.932883620262146,0.0769762322306633,0.9360540525428201
Inhibited Predator-Prey,gaussian,0.1,100,4,0.932883620262146,-0.0769762322306633,0.9360540525428201
Inhibited Predator-Prey,gaussian,0.1,100,5,0.9110735058784485,0.032207079231739044,0.9116425994139846
Inhibited Predator-Prey,gaussian,0.1,100,6,0.9110735058784485,-0.032207079231739044,0.9116425994139846
Inhibited Predator-Prey,gaussian,0.1,100,7,0.8999865055084229,0.10589677840471268,0.9061952536698474
Inhibited Predator-Prey,gaussian,0.1,100,8,0.8999865055084229,-0.10589677840471268,0.9061952536698474
Inhibited Predator-Prey,gaussian,0.1,100,9,0.8587289452552795,0.0,0.8587289452552795
Inhibited Predator-Prey,gaussian,0.15,100,0,0.9983469843864441,0.0,0.9983469843864441
Inhibited Predator-Prey,gaussian,0.15,100,1,0.9410821199417114,0.06237227842211723,0.9431467847528039
Inhibited Predator-Prey,gaussian,0.15,100,2,0.9410821199417114,-0.06237227842211723,0.9431467847528039
Inhibited Predator-Prey,gaussian,0.15,100,3,0.9138432741165161,0.014611408114433289,0.9139600772982814
Inhibited Predator-Prey,gaussian,0.15,100,4,0.9138432741165161,-0.014611408114433289,0.9139600772982814
Inhibited Predator-Prey,gaussian,0.15,100,5,0.8243554830551147,0.18496298789978027,0.8448510338135629
Inhibited Predator-Prey,gaussian,0.15,100,6,0.8243554830551147,-0.18496298789978027,0.8448510338135629
Inhibited Predator-Prey,gaussian,0.15,100,7,0.813522458076477,0.0,0.813522458076477
Inhibited Predator-Prey,gaussian,0.15,100,8,0.7527402639389038,0.06272122263908386,0.7553488311529661
Inhibited Predator-Prey,gaussian,0.15,100,9,0.7527402639389038,-0.06272122263908386,0.7553488311529661
Inhibited Predator-Prey,gaussian,0.2,100,0,0.9983665347099304,0.0,0.9983665347099304
Inhibited Predator-Prey,gaussian,0.2,100,1,0.9186979532241821,0.05516011267900467,0.9203524147244152
Inhibited Predator-Prey,gaussian,0.2,100,2,0.9186979532241821,-0.05516011267900467,0.9203524147244152
Inhibited Predator-Prey,gaussian,0.2,100,3,0.881506085395813,0.0,0.881506085395813
Inhibited Predator-Prey,gaussian,0.2,100,4,0.8409242033958435,0.0,0.8409242033958435
Inhibited Predator-Prey,gaussian,0.2,100,5,0.8288012742996216,0.06661632657051086,0.8314741651106338
Inhibited Predator-Prey,gaussian,0.2,100,6,0.8288012742996216,-0.06661632657051086,0.8314741651106338
Inhibited Predator-Prey,gaussian,0.2,100,7,0.6870474815368652,0.045396123081445694,0.6885456047909789
Inhibited Predator-Prey,gaussian,0.2,100,8,0.6870474815368652,-0.045396123081445694,0.6885456047909789
Inhibited Predator-Prey,gaussian,0.2,100,9,0.49112534523010254,0.0,0.49112534523010254
